experiment,scenario,severity,comparison,metric,paired_diff_mean_ci,status
reward_corruption_training_sweep,reward_corruption_training,high,Simplified PSAIM - DQN,average_slowdown,"-0.117 [-4.754, 4.386]",not decisive
reward_corruption_training_sweep,reward_corruption_training,high,Simplified PSAIM - DQN,degradation_pct,"3.271 [-146.010, 148.536]",not decisive
reward_corruption_training_sweep,reward_corruption_training,high,Simplified PSAIM - DQN,task_failure_rate,"-0.035 [-0.300, 0.219]",not decisive
reward_corruption_training_sweep,reward_corruption_training,high,Simplified PSAIM - DQN,p95_completion_time,"-0.334 [-18.095, 16.125]",not decisive
reward_corruption_training_sweep,reward_corruption_training,low,Simplified PSAIM - DQN,average_slowdown,"-2.066 [-4.137, -0.653]",Simplified PSAIM lower
reward_corruption_training_sweep,reward_corruption_training,low,Simplified PSAIM - DQN,degradation_pct,"-59.725 [-117.389, -18.968]",Simplified PSAIM lower
reward_corruption_training_sweep,reward_corruption_training,low,Simplified PSAIM - DQN,task_failure_rate,"-0.113 [-0.215, -0.046]",Simplified PSAIM lower
reward_corruption_training_sweep,reward_corruption_training,low,Simplified PSAIM - DQN,p95_completion_time,"-7.581 [-9.959, -5.206]",Simplified PSAIM lower
reward_corruption_training_sweep,reward_corruption_training,medium,Simplified PSAIM - DQN,average_slowdown,"2.231 [-0.559, 4.790]",not decisive
reward_corruption_training_sweep,reward_corruption_training,medium,Simplified PSAIM - DQN,degradation_pct,"71.893 [-17.337, 158.161]",not decisive
reward_corruption_training_sweep,reward_corruption_training,medium,Simplified PSAIM - DQN,task_failure_rate,"0.156 [0.006, 0.303]",DQN lower
reward_corruption_training_sweep,reward_corruption_training,medium,Simplified PSAIM - DQN,p95_completion_time,"4.300 [-0.316, 8.456]",not decisive
